,timestamp,positive,total_positive
0,2020/1/16,1,1
1,2020/1/17,0,1
2,2020/1/18,0,1
3,2020/1/19,0,1
4,2020/1/20,0,1
5,2020/1/21,0,1
6,2020/1/22,0,1
7,2020/1/23,0,1
8,2020/1/24,1,2
9,2020/1/25,1,3
10,2020/1/26,1,4
11,2020/1/27,0,4
12,2020/1/28,3,7
13,2020/1/29,1,8
14,2020/1/30,3,11
15,2020/1/31,1,12
16,2020/2/1,0,12
17,2020/2/2,0,12
18,2020/2/3,0,12
19,2020/2/4,2,14
20,2020/2/5,2,16
21,2020/2/6,0,16
22,2020/2/7,0,16
23,2020/2/8,0,16
24,2020/2/9,0,16
25,2020/2/10,0,16
26,2020/2/11,0,16
27,2020/2/12,1,17
28,2020/2/13,4,21
29,2020/2/14,7,28
30,2020/2/15,12,40
31,2020/2/16,6,46
32,2020/2/17,7,53
33,2020/2/18,7,60
34,2020/2/19,10,70
35,2020/2/20,9,79
36,2020/2/21,11,90
37,2020/2/22,27,117
38,2020/2/23,12,129
39,2020/2/24,12,141
40,2020/2/25,8,149
41,2020/2/26,22,171
42,2020/2/27,24,195
43,2020/2/28,20,215
44,2020/2/29,9,224
45,2020/3/1,15,239
46,2020/3/2,14,253
47,2020/3/3,16,269
48,2020/3/4,33,302
49,2020/3/5,31,333
50,2020/3/6,59,392
51,2020/3/7,47,439
52,2020/3/8,33,472
53,2020/3/9,26,498
54,2020/3/10,54,552
55,2020/3/11,52,604
56,2020/3/12,55,659
57,2020/3/13,40,699
58,2020/3/14,62,761
59,2020/3/15,33,794
60,2020/3/16,15,809
61,2020/3/17,44,853
62,2020/3/18,39,892
63,2020/3/19,36,928
64,2020/3/20,53,981
65,2020/3/21,34,1015
66,2020/3/22,42,1057
67,2020/3/23,38,1095
68,2020/3/24,65,1160
69,2020/3/25,93,1253
70,2020/3/26,96,1349
71,2020/3/27,104,1453
72,2020/3/28,194,1647
73,2020/3/29,185,1832
74,2020/3/30,74,1906
75,2020/3/31,218,2124
76,2020/4/1,224,2348
77,2020/4/2,253,2601
78,2020/4/3,337,2938
79,2020/4/4,370,3308
80,2020/4/5,386,3694
81,2020/4/6,270,3964
82,2020/4/7,377,4341
83,2020/4/8,550,4891
84,2020/4/9,572,5463
85,2020/4/10,708,6171
86,2020/4/11,676,6847
87,2020/4/12,571,7418
88,2020/4/13,333,7751
89,2020/4/14,511,8262
90,2020/4/15,511,8773
91,2020/4/16,596,9369
92,2020/4/17,575,9944
93,2020/4/18,590,10534
94,2020/4/19,372,10906
95,2020/4/20,365,11271
96,2020/4/21,374,11645
97,2020/4/22,450,12095
98,2020/4/23,445,12540
99,2020/4/24,451,12991
100,2020/4/25,374,13365
101,2020/4/26,221,13586
102,2020/4/27,189,13775
103,2020/4/28,284,14059
104,2020/4/29,227,14286
105,2020/4/30,199,14485
106,2020/5/1,266,14751
107,2020/5/2,302,15053
108,2020/5/3,204,15257
109,2020/5/4,177,15434
110,2020/5/5,120,15554
111,2020/5/6,106,15660
112,2020/5/7,96,15756
113,2020/5/8,89,15845
114,2020/5/9,108,15953
115,2020/5/10,68,16021
116,2020/5/11,50,16071
117,2020/5/12,80,16151
118,2020/5/13,54,16205
119,2020/5/14,100,16305
120,2020/5/15,52,16357
121,2020/5/16,57,16414
122,2020/5/17,30,16444
123,2020/5/18,30,16474
124,2020/5/19,31,16505
125,2020/5/20,38,16543
126,2020/5/21,43,16586
127,2020/5/22,31,16617
128,2020/5/23,29,16646
129,2020/5/24,40,16686
130,2020/5/25,20,16706
131,2020/5/26,27,16733
132,2020/5/27,37,16770
133,2020/5/28,61,16831
134,2020/5/29,64,16895
135,2020/5/30,46,16941
136,2020/5/31,32,16973
137,2020/6/1,36,17009
138,2020/6/2,51,17060
139,2020/6/3,26,17086
140,2020/6/4,45,17131
141,2020/6/5,41,17172
142,2020/6/6,45,17217
143,2020/6/7,32,17249
144,2020/6/8,22,17271
145,2020/6/9,30,17301
146,2020/6/10,36,17337
147,2020/6/11,40,17377
148,2020/6/12,57,17434
149,2020/6/13,43,17477
150,2020/6/14,62,17539
151,2020/6/15,60,17599
152,2020/6/16,42,17641
153,2020/6/17,43,17684
154,2020/6/18,68,17752
155,2020/6/19,54,17806
156,2020/6/20,65,17871
157,2020/6/21,49,17920
158,2020/6/22,40,17960
159,2020/6/23,53,18013
160,2020/6/24,89,18102
161,2020/6/25,79,18181
162,2020/6/26,99,18280
163,2020/6/27,88,18368
164,2020/6/28,111,18479
165,2020/6/29,110,18589
166,2020/6/30,132,18721
167,2020/7/1,125,18846
168,2020/7/2,194,19040
169,2020/7/3,249,19289
170,2020/7/4,268,19557
171,2020/7/5,195,19752
172,2020/7/6,172,19924
173,2020/7/7,208,20132
174,2020/7/8,203,20335
175,2020/7/9,352,20687
176,2020/7/10,420,21107
177,2020/7/11,373,21480
178,2020/7/12,391,21871
179,2020/7/13,248,22119
180,2020/7/14,327,22446
181,2020/7/15,440,22886
182,2020/7/16,619,23505
183,2020/7/17,588,24093
184,2020/7/18,655,24748
185,2020/7/19,501,25249
186,2020/7/20,407,25656
187,2020/7/21,618,26274
188,2020/7/22,792,27066
189,2020/7/23,966,28032
190,2020/7/24,766,28798
191,2020/7/25,798,29596
192,2020/7/26,830,30426
193,2020/7/27,581,31007
194,2020/7/28,968,31975
195,2020/7/29,1242,33217
196,2020/7/30,1297,34514
197,2020/7/31,1574,36088
198,2020/8/1,1535,37623
199,2020/8/2,1324,38947